% Model,infinitegrating_4.59um-DRS_Ti-Ag_EE_1storder_mod_addthickcap.mph,,,,,,,,,,,,,
% Version,COMSOL 5.1.0.234,,,,,,,,,,,,,
% Date,"Jun 25 2024, 10:37",,,,,,,,,,,,,
% Table,Accumulated Probe Table 1 - ,,,,,,,,,,,,,
% Cladding1,Grating_Layer,DutyCycle,Refinement level,Eigenfrequency,"Frequency, Global Var freq","emw.damp/emw.freq/(Period[um]), Global Var Loss","-emw.Poavy/emw.freq/(Period[um])/2 (N/cm), Boundary Probe 1","Energy density time average (J/m), Domain Probe 1","(freq*2*pi/c_const-2*pi/wavelength[um])*wavelength/Period/2, delta kappa","c_const/emw.freq, Global Var wavelength","bnd1/dom1, Global Variable Surface Loss","abs(emw.Ey)^2 (kg^2*m^4/(s^6*A^2)), Domain Probe Core Ey2","emw.normE^2 (kg^2*m^4/(s^6*A^2)), Domain Probe All E2","dom2/dom3, Global Var Gamma"
2,0.12,0.5,0,6.505667858523765E13+5.219385965502024E11i,6.51E+13,695.6692371,-5.57E-13,2.15E-07,-170.9832128623298+346.4628495020693i,4.608173435,-2.60E-06,332.3980935,4645.725851,0.071549227
2,0.12,0.5,0,6.531637241774876E13+6.227240105597485E9i,6.53E+13,8.267016934,-5.27E-12,1.95E-07,1.401557692297801+4.133642090811256i,4.589851624,-2.71E-05,2735.099625,4288.58513,0.637762698
2,0.12,0.5,0,6.536521670974711E13+6.893577659596959E10i,6.54E+13,91.44779532,-1.05E-11,1.93E-07,33.824399573532546+45.759569707890805i,4.586421848,-5.44E-05,2507.43293,4240.580015,0.591294804
2,0.12,0.5,0,6.708636772423634E13+1.344479268398549E10i,6.71E+13,17.37781238,6.48E-07,1.10E-07,1176.3244730394786+8.924653618349813i,4.46875376,5.894086015,24.98032925,2596.613571,0.009620349
2,0.12,0.2,0,6.531114461163221E13+1.97119062932737E10i,6.53E+13,26.17077619,-5.26E-12,1.81E-07,-2.0686600991302986+13.084763741607084i,4.590219017,-2.91E-05,2511.965536,3989.975359,0.629569185
2,0.12,0.2,0,6.531805158491294E13+3.093396616804216E9i,6.53E+13,4.106555128,-5.01E-12,1.87E-07,2.516188885199442+2.053396728239399i,4.58973363,-2.68E-05,2632.414666,4116.113692,0.639538862
2,0.12,0.2,0,6.646790449178202E13+9.224131410601288E11i,6.65E+13,1203.341146,-3.29E-10,1.92E-07,765.7885685391186+612.2978591392744i,4.510334127,-0.001715606,129.1387319,4151.321768,0.031107859
2,0.12,0.2,0,6.708322153045701E13+9.244097208553885E9i,6.71E+13,11.9488433,6.35E-07,1.08E-07,1174.2360295538244+6.136231888422242i,4.468963344,5.857790193,24.39081557,2562.400675,0.009518736
2,0.12,0.7,0,6.459752158263512E13+3.582440839732333E11i,6.46E+13,480.8819146,-1.97E-14,2.27E-07,-475.77163920589106+237.8024291956855i,4.640928176,-8.67E-08,155.3757518,4832.81541,0.032150152
2,0.12,0.7,0,6.53122935413117E13+1.2953787034721132E10i,6.53E+13,17.19796617,-5.31E-12,1.94E-07,-1.306000557823735+8.598724059796117i,4.590138269,-2.74E-05,2697.62911,4266.288255,0.632312903
2,0.12,0.7,0,6.5379075514286586E13+2.759575545744106E10i,6.54E+13,36.59980614,-9.89E-12,1.92E-07,43.023874268783324+18.318062954418235i,4.585449636,-5.15E-05,2643.434697,4217.999071,0.62670348
2,0.12,0.7,0,6.659002080017255E13+6.686668306316357E11i,6.66E+13,870.7147519,-2.35E-09,2.45E-07,846.8493761806642+443.86105384691774i,4.502062838,-0.009560645,139.9161061,5005.360857,0.027953251
2,0.01,0.5,0,6.436039770333446E13+3.7545735754334875E11i,6.44E+13,505.8446636,-3.37E-15,1.62E-07,-633.1744744253903+249.22860049203888i,4.65802681,-2.08E-08,74.13785413,3503.189167,0.021162961
2,0.01,0.5,0,6.5317622704807555E13+2.8264319741724124E9i,6.53E+13,3.752178064,-4.41E-12,1.65E-07,2.2314982637561265+1.876185593799718i,4.589763766,-2.67E-05,2331.440627,3647.479447,0.639192259
2,0.01,0.5,0,6.537616662582324E13+1.8914354123903442E10i,6.54E+13,25.08691952,-7.95E-12,1.63E-07,41.09295405603351+12.555348597655383i,4.585653664,-4.87E-05,2288.52558,3587.910599,0.637843535
2,0.01,0.5,0,6.7082496106039984E13+9.40593291692028E9i,6.71E+13,12.15816227,5.25E-07,9.69E-08,1173.754492813144+6.243658434461197i,4.469011671,5.416830373,21.90833759,2288.892655,0.009571588
2,0.01,0.2,0,6.4478831065278664E13+3.938217647910866E11i,6.45E+13,529.6120173,-7.50E-15,1.57E-07,-554.5584066992092+261.41889434369455i,4.649471044,-4.79E-08,91.41300915,3387.42114,0.026986018
2,0.01,0.2,0,6.5317873315615805E13+2.6945075497539134E9i,6.53E+13,3.577030484,-4.24E-12,1.59E-07,2.397853722649925+1.7886141585675719i,4.589746156,-2.67E-05,2238.19668,3500.467356,0.639399387
2,0.01,0.2,0,6.5379634421236914E13+2.376596801926324E10i,6.54E+13,31.52015127,-8.00E-12,1.56E-07,43.3948767121706+15.77584998609507i,4.585410436,-5.12E-05,2178.738992,3438.676514,0.633598125
2,0.01,0.2,0,6.708278334871646E13+8.96520942166754E9i,6.71E+13,11.58843096,5.31E-07,9.27E-08,1173.945164506801+5.9511061706182415i,4.468992535,5.730975638,20.8997341,2190.006939,0.009543227
2,0.01,0.7,0,6.433602122866828E13+3.687304533063901E11i,6.43E+13,496.9698945,-2.88E-15,1.67E-07,-649.3555787343662+244.7632813421069i,4.659791704,-1.73E-08,72.46484764,3597.013146,0.020145839
2,0.01,0.7,0,6.531720690083183E13+2.9694255714064646E9i,6.53E+13,3.942031693,-4.53E-12,1.70E-07,1.9554875774106448+1.9711047461400757i,4.589792984,-2.66E-05,2399.128213,3755.312317,0.638862499
2,0.01,0.7,0,6.537542227952799E13+1.7966130991851265E10i,6.54E+13,23.8295218,-8.10E-12,1.68E-07,40.598856972252364+11.925918066044993i,4.585705875,-4.82E-05,2359.888339,3695.733195,0.638544022
2,0.01,0.7,0,6.70820242129816E13+1.0113066376138481E10i,6.71E+13,13.07229895,4.88E-07,9.95E-08,1173.4412501927495+6.713053637035429i,4.469043108,4.908304344,22.60887009,2348.190383,0.00962821
2,0.15,0.5,0,6.49442068018392E13+5.536920365309199E11i,6.49E+13,739.2700857,-2.61E-13,2.31E-07,-245.64198464575594+367.5407835156236i,4.616153969,-1.13E-06,267.3058577,5028.077448,0.053162637
2,0.15,0.5,0,6.531612594000447E13+7.283034710204797E9i,6.53E+13,9.668681063,-5.45E-12,2.00E-07,1.2379457613387752+4.834478567781734i,4.589868944,-2.73E-05,2812.095205,4411.672693,0.637421541
2,0.15,0.5,0,6.53685895403797E13+5.6794507087104546E10i,6.54E+13,75.33772352,-1.08E-11,2.01E-07,36.06328460633026+37.700194795942956i,4.586185202,-5.39E-05,2672.861377,4410.95901,0.605959242
2,0.15,0.5,0,6.708732221486634E13+1.3185077409048439E10i,6.71E+13,17.04187985,7.41E-07,1.13E-07,1176.9580639363337+8.752254614312468i,4.46869018,6.537678939,25.67780351,2678.939952,0.009585061
2,0.15,0.2,0,6.531454863377286E13+1.6243179657810541E10i,6.53E+13,21.56435092,-5.62E-12,1.92E-07,0.19092985726008457+10.78222294042934i,4.589979787,-2.93E-05,2680.671638,4229.872676,0.633747596
2,0.15,0.2,0,6.531802095730678E13+3.254758754178395E9i,6.53E+13,4.320769101,-5.30E-12,1.97E-07,2.495858279698916+2.1605089178454517i,4.589735782,-2.69E-05,2784.872454,4354.569491,0.639528766
2,0.15,0.2,0,6.671107081647698E13+1.0325899434228175E12i,6.67E+13,1342.162968,-5.15E-10,2.09E-07,927.2023791168484+685.4332224711025i,4.493893657,-0.002470154,126.8437323,4528.505735,0.028010063
2,0.15,0.2,0,6.708332833645468E13+9.299331077867298E9i,6.71E+13,12.020219,6.76E-07,1.15E-07,1174.3069273769474+6.1728961318367634i,4.468956229,5.894265648,25.77307921,2709.008911,0.009513841
2,0.15,0.7,0,6.435800414740232E13+3.351597804517993E11i,6.44E+13,451.5695014,-3.76E-15,2.48E-07,-634.7633168949312+222.4790681151501i,4.658200048,-1.52E-08,100.0522518,5296.556017,0.018890058
